Block	Variety	Manure	Yield
1	1	0	111
1	1	1	130
1	1	2	157
1	1	4	174
1	2	0	117
1	2	1	114
1	2	2	161
1	2	4	141
1	3	0	105
1	3	1	140
1	3	2	118
1	3	4	156
2	1	0	61
2	1	1	91
2	1	2	97
2	1	4	100
2	2	0	70
2	2	1	108
2	2	2	126
2	2	4	149
2	3	0	96
2	3	1	124
2	3	2	121
2	3	4	144
3	1	0	68
3	1	1	64
3	1	2	112
3	1	4	86
3	2	0	60
3	2	1	102
3	2	2	89
3	2	4	96
3	3	0	89
3	3	1	129
3	3	2	132
3	3	4	124
4	1	0	74
4	1	1	89
4	1	2	81
4	1	4	122
4	2	0	64
4	2	1	103
4	2	2	132
4	2	4	133
4	3	0	70
4	3	1	89
4	3	2	104
4	3	4	117
5	1	0	62
5	1	1	90
5	1	2	100
5	1	4	116
5	2	0	80
5	2	1	82
5	2	2	94
5	2	4	126
5	3	0	63
5	3	1	70
5	3	2	109
5	3	4	99
6	1	0	53
6	1	1	74
6	1	2	118
6	1	4	113
6	2	0	89
6	2	1	82
6	2	2	86
6	2	4	104
6	3	0	97
6	3	1	99
6	3	2	119
6	3	4	121
