"ID","FEMALE","MALE","AGE","S","ASVAB01","ASVAB02","ASVAB03","ASVAB04","ASVAB05","ASVAB06","ASVABC","EARNINGS"
"1",5531,0,1,45,12,58,64,52,56,54,56,60.89985,53.41
"2",2658,0,1,40,12,32,39,29,29,27,22,33.6379,8
"3",5365,0,1,38,15,42,40,37,38,42,45,38.81767,24
"4",4468,0,1,43,13,66,55,59,53,51,52,57.08318,29.5
"5",3142,0,1,38,18,64,65,61,62,47,34,65.53439,32.05
"6",2170,0,1,39,16,62,53,51,59,58,45,55.44746,14.73
"7",2344,0,1,40,14,50,32,44,38,33,29,36.36409,13
"8",4583,0,1,37,12,56,62,52,44,41,47,56.53794,11.25
"9",2517,0,1,39,12,60,59,55,62,58,46,60.62724,18.01
"10",3563,0,1,42,12,46,57,28,32,47,46,43.99744,11.78
"11",5419,0,1,41,17,62,64,56,59,58,58,62.80819,27.3
"12",1420,0,1,39,8,52,46,51,53,49,44,49.99507,16
"13",2291,0,1,37,16,64,66,56,59,62,57,63.89867,29.45
"14",4831,0,1,37,18,54,61,59,62,44,45,62.80819,23.07
"15",2893,0,1,42,19,68,66,61,59,60,59,65.26176,55.05
"16",2998,0,1,41,12,56,50,59,53,41,44,54.35698,12.3
"17",3887,0,1,40,20,68,66,61,62,62,60,66.07963,109.61
"18",39,0,1,43,12,50,47,46,47,52,31,47.5415,28.84
"19",520,0,1,44,16,40,40,46,41,44,50,42.0891,17.62
"20",674,0,1,41,12,42,34,30,32,31,38,32.00218,14.16
"21",11809,0,1,38,16,50,58,54,44,59,48,54.90222,21.87
"22",2090,0,1,38,12,42,42,35,32,49,43,37.72719,11.35
"23",1560,0,1,41,12,46,50,41,44,43,41,46.99625,11.42
"24",547,0,1,44,11,42,50,48,56,41,35,52.17603,21.73
"25",2106,0,1,43,12,46,58,48,47,60,56,54.08437,16
"26",4360,0,1,45,16,60,59,55,62,60,46,60.62724,28.2
"27",3390,0,1,42,20,64,66,57,53,62,65,62.53557,30.55
"28",5024,0,1,44,12,56,50,50,50,52,46,51.08555,15.34
"29",3493,0,1,44,12,62,58,56,53,47,51,57.90104,14
"30",5470,0,1,40,12,42,50,41,59,56,50,51.08555,15
"31",4840,0,1,39,15,54,62,55,53,57,57,59.80938,8.61
"32",1961,0,1,44,12,66,55,54,50,58,57,54.90222,21.5
