pa;x;y;Alt;Das;Pen;Smm;Qmm;Vme;Tmm;Con;pH;Dur;Cl.;SO4;PO4;NO3;N;O2;OXY;DBO
0;243.5086745;35.34663428;6;0;9;4;3;3;2;4;5;3;1;0;1;2;0;9;1;1
1;254.3795975;45.38133241;6;2;5;5;3;2;3;4;6;3;2;0;2;2;6;9;1;1
1;261.9;51.2;6;4;6;5;4;4;5;4;6;3;1;1;4;3;6;9;1;2
1;267.759195;70.46807772;5;5;6;5;4;3;5;4;6;5;2;0;5;3;2;9;1;1
1;275.2852186;82.17522554;5;5;6;6;4;1;6;4;5;4;3;1;6;2;0;9;1;3
1;280.3025677;88.86502429;5;5;7;6;5;2;5;4;6;6;3;0;4;2;0;9;1;1
0;281.1387925;109.7706454;5;6;5;5;3;2;6;4;6;6;6;1;6;4;6;4;2;4
1;307.0617627;135.6936155;5;6;4;6;5;3;6;4;6;6;4;1;6;5;7;5;2;3
1;360.5801527;159.944136;4;7;7;5;6;9;5;4;5;5;2;0;4;4;3;9;2;2
1;398.2102706;197.574254;3;7;6;6;7;9;5;5;6;6;3;0;6;6;2;9;1;1
1;413.2623178;215.9712006;3;7;5;6;7;9;5;4;5;6;2;0;3;4;0;9;1;2
1;434.1679389;222.6609993;3;7;5;6;7;9;5;4;6;6;3;0;4;4;0;9;1;1
1;442.5301874;231.8594726;2;7;4;6;7;9;5;4;6;6;3;0;6;5;2;9;2;2
1;412.426093;231.0232477;2;7;3;6;7;7;5;5;7;6;2;0;7;5;2;9;1;1
1;374.795975;222.6609993;2;7;5;6;7;6;6;5;6;6;2;0;6;6;5;9;1;1
1;363.925052;242.7303956;2;7;3;7;7;5;6;5;6;6;2;0;6;6;7;9;1;2
1;211.7321305;64.61450382;6;3;8;3;1;2;2;5;6;6;0;0;5;3;6;4;3;1
1;223.4392783;72.97675226;5;4;6;4;2;2;1;4;5;6;0;0;5;3;7;4;1;1
1;232.6377516;78.83032616;5;4;6;4;3;3;4;4;6;5;0;0;5;2;5;8;1;1
1;244.3448994;83.84767523;5;5;5;5;3;2;5;4;5;5;0;1;5;5;8;3;3;1
1;254.3795975;90.53747398;5;5;5;4;2;2;5;5;5;5;0;1;6;5;7;9;2;1
1;266.0867453;96.39104788;5;5;4;5;4;2;6;5;5;5;1;1;6;5;7;7;2;1
0;323.7862595;163.2890354;3;0;9;3;1;2;1;7;5;7;0;0;5;3;2;8;0;1
0;328.8036086;177.5048577;3;3;8;4;3;4;2;5;6;6;0;0;5;3;0;9;0;1
