"media";"mediana";"max";"tmp";"umr";"pgg";"rdz";"prs";"vv";"dv";"data"
30.375;26;46;13;64;0;1;1001;3.70000004768372;"SW";2010-01-01
15.25;14.5;24;12;58;1.60000002384186;1;1007;4.09999990463257;"SW";2010-01-02
18.3057861732232;14.723144692893;35;8;55;0;1;1018;7.30000019073486;"NW";2010-01-03
21.75;22.5;29;6;61;11.3999996185303;1;1022;1.70000004768372;"NE";2010-01-04
27.625;27.5;32;11;84;0.400000005960464;1;1010;2.59999990463257;"SE";2010-01-05
31.75;32;38;13;73;0;2;1007;2;"S";2010-01-06
24;23;38;13;72;0;1;1014;2;"S";2010-01-07
44.25;45.5;48;14;78;0;0;1009;5.59999990463257;"SE";2010-01-08
45.625;46.5;61;12;67;5.80000019073486;0;1002;4.59999990463257;"S";2010-01-09
11.4557572067524;11;17;9;63;0.200000002980232;1;1001;2.90000009536743;"SW";2010-01-10
18.8232340776263;20.5;23;6;75;7;1;1005;1;"E";2010-01-11
17.8167073922068;16.2668295688273;30;9;71;0.600000023841858;0;1002;3.70000004768372;"NW";2010-01-12
27.5741856685935;27.5;33;6;78;21.7999992370605;1;997;0.800000011920929;"NE";2010-01-13
33.9959015932275;34;41;8;73;0.200000002980232;1;996;2.09999990463257;"NW";2010-01-14
22.660927046671;23.6437081866842;26;8;71;0;1;999;4;"NE";2010-01-15
26.5995175952787;26.3980703811148;32;10;58;0;1;1000;6.09999990463257;"N";2010-01-16
38.0618612333151;37.2474449332605;49;8;65;0.200000002980232;1;1004;1.70000004768372;"NW";2010-01-17
33.9610594892077;34;49;9;68;0;1;1004;5.19999980926514;"NW";2010-01-18
20;15.5;42;8;59;0;1;1004;8;"NW";2010-01-19
28.25;26;44;7;57;0;1;1002;4.09999990463257;"NW";2010-01-20
17.5237172004944;17.5;20.1897376039555;7;64;4.40000009536743;1;1000;4.19999980926514;"NE";2010-01-21
28.125;23;58;6;57;0;1;1001;8.80000019073486;"NW";2010-01-22
32.25;28.5;50;6;57;0;1;1004;8.19999980926514;"NW";2010-01-23
31.75;32;43;7;58;0;1;1008;4.09999990463257;"NW";2010-01-24
34.625;34;39;8;58;0;1;1010;1.10000002384186;"W";2010-01-25
23.5055654056731;23.5;32;8;67;38.5999984741211;2;1004;2.5;"E";2010-01-26
16.625;16.5;27;9;86;49.5999984741211;1;994;5.5;"E";2010-01-27
23.3478647264012;21.3914589056046;33;8;72;0;1;990;2;"NW";2010-01-28
26.5359234688003;25.1436938752012;33;8;70;0.800000011920929;1;975;1;"N";2010-01-29
13.625;13.5;22;10;71;0.200000002980232;2;976;3.70000004768372;"S";2010-01-30
11.75;12;17;10;64;0.200000002980232;2;975;3.29999995231628;"SW";2010-01-31
20.125;16;40;7;57;0.400000005960464;2;985;5.69999980926514;"NW";2010-02-01
26.25;20;54;5;55;0;3;989;7.80000019073486;"NW";2010-02-02
30.875;32.5;36;5;61;0;2;1003;1.20000004768372;"NW";2010-02-03
31;31;40;6;71;0;3;1007;0.300000011920929;"S";2010-02-04
25;26.5;29;9;79;0;2;1004;2.40000009536743;"SE";2010-02-05
15.125;14;22;12;65;2;3;993;4.30000019073486;"SW";2010-02-06
16.125;12.5;46;8;69;2;2;990;5.69999980926514;"NW";2010-02-07
30.25;25;52;7;64;7.19999980926514;2;992;6;"NW";2010-02-08
26.0994091529187;23.897636611675;34;7;73;8.39999961853027;3;990;1.89999997615814;"E";2010-02-09
16;17;20;11;74;22.7999992370605;2;984;4.30000019073486;"S";2010-02-10
15.5;15.5;23;10;67;0.200000002980232;2;989;1.89999997615814;"SW";2010-02-11
16.25;14.5;25;8;63;0.200000002980232;2;996;3;"S";2010-02-12
19.25;18.5;25;7;63;7.19999980926514;3;1004;3;"W";2010-02-13
13.2171124131622;13.5;16;8;83;41.7999992370605;1;1000;3;"SE";2010-02-14
21.899528419763;20.2043426232138;34;9;70;0;2;1003;2.79999995231628;"W";2010-02-15
18.619690101379;18.9787604055162;30;10;81;21.6000003814697;2;1003;1.60000002384186;"SE";2010-02-16
28.650451829959;22.6018073198362;70;12;78;12.6000003814697;3;996;1.60000002384186;"SE";2010-02-17
26.3328424326394;28;30;13;70;0;3;1001;2.29999995231628;"S";2010-02-18
92;90;106;11;78;0.200000002980232;4;1001;3.09999990463257;"SE";2010-02-19
49;48;74;13;62;0;4;999;4.19999980926514;"S";2010-02-20
21.375;18.5;33;11;52;0;5;1011;2.5;"W";2010-02-21
26.125;26.5;30;10;78;2;4;1012;1.60000002384186;"SE";2010-02-22
23.25;25;28;13;72;0.200000002980232;3;1009;2.5;"S";2010-02-23
19.75;19;25;11;78;15;4;1008;0.899999976158142;"S";2010-02-24
25.125;24.5;35;11;72;0;4;1003;1.5;"NW";2010-02-25
28.25;28;34;11;75;0.200000002980232;3;979;1.60000002384186;"SE";2010-02-26
30.125;22.5;64;12;50;0;6;998;4.5;"NW";2010-02-27
24.5;25.5;29;10;70;0;4;1006;2.40000009536743;"SE";2010-02-28
34.5;35;41;13;80;0;2;1000;1.5;"SE";2010-03-01
24.25;20.5;52;13;54;0;5;1013;2.20000004768372;"W";2010-03-02
30.125;30.5;43;11;65;0;4;1013;2.29999995231628;"E";2010-03-03
21.25;20.5;27;12;73;4.40000009536743;2;999;3.5;"SE";2010-03-04
20.125;18;31;10;67;4.59999990463257;2;1009;3;"NW";2010-03-05
19.625;17.5;40;6;53;0;5;1019;6.90000009536743;"NW";2010-03-06
16.625;17;23;6;57;0;7;1024;2.40000009536743;"N";2010-03-07
30.25;28;50;8;49;0;5;1014;9.19999980926514;"NW";2010-03-08
31.3616304673159;30.9465218692637;40;7;69;45;3;1011;3.70000004768372;"E";2010-03-09
18.8103396715306;17.5;26;11;85;121;2;1004;4.09999990463257;"SE";2010-03-10
17;16;25;9;64;0;4;1007;3.20000004768372;"S";2010-03-11
20;19.5;28;9;61;0;8;1014;2;"SW";2010-03-12
20.875;20;27;9;61;0;5;1016;2.79999995231628;"N";2010-03-13
22.625;19;48;9;50;0;8;1019;7.69999980926514;"NW";2010-03-14
27;22;49;10;45;0;6;1017;4.30000019073486;"NW";2010-03-15
23.5;22.5;29;8;59;0;7;1023;1;"SE";2010-03-16
31.25;32;41;11;57;0;7;1031;2;"NW";2010-03-17
33.375;34.5;38;9;59;0;7;1035;0.899999976158142;"S";2010-03-18
47.75;46;85;10;60;0;8;1025;0.699999988079071;"S";2010-03-19
32.9178630930885;33;40;10;72;0;7;1023;1;"SE";2010-03-20
24.75;25;31;12;73;0;7;1021;1.20000004768372;"SE";2010-03-21
29.2521660061704;31;35;13;75;0.200000002980232;5;1018;0.600000023841858;"SE";2010-03-22
27.875;27;36;12;80;9.19999980926514;2;1013;0.800000011920929;"W";2010-03-23
24.125;24.5;31;13;74;0;6;1012;1;"NW";2010-03-24
25.375;26;31;13;76;0;8;1015;0.800000011920929;"SE";2010-03-25
33;34;37;13;76;0;6;1016;1.60000002384186;"SE";2010-03-26
34.3585226590262;33.5;46;14;65;0;9;1009;2.70000004768372;"SE";2010-03-27
19.2011122832528;19;32;14;47;0;8;1009;2.5;"W";2010-03-28
23.3217276682288;23;33;13;59;0;6;1015;1.20000004768372;"W";2010-03-29
27.3672934966012;27;32;13;75;0;4;1007;3.90000009536743;"SE";2010-03-30
25.5523062121272;25.5;35;15;61;0;8;1006;2.59999990463257;"S";2010-03-31
21.7036431377375;18.5;34;14;53;0;6;1009;2.5;"S";2010-04-01
22.9594279184695;23;32;14;57;0;5;1012;1.5;"S";2010-04-02
24.2434567444068;22.9738269776272;37;13;53;0;9;1022;1.60000002384186;"W";2010-04-03
18.6311724149172;19.9233503805601;22;12;60;0;5;1028;2.09999990463257;"SE";2010-04-04
21.3188360725352;19.7753442901409;33;15;55;0.600000023841858;5;1020;4.59999990463257;"SW";2010-04-05
32.100432608164;20;78;13;46;0;11;1018;9.19999980926514;"NW";2010-04-06
20.076309766075;17;35;13;42;0;6;1018;4.80000019073486;"NW";2010-04-07
21.75;20.5;31;13;54;0;10;1019;2.09999990463257;"W";2010-04-08
